time,update,total_updates,seconds,steps,loss,policy_loss,value_loss,entropy
21:31:49,1,10,2.66,32768,0.5116,0.4288,0.0907,4.0815
21:31:51,2,10,1.83,32768,0.3337,0.2843,0.0484,4.0479
21:31:52,3,10,1.81,32768,0.1665,0.134,0.0178,4.0103
21:31:54,4,10,1.78,32768,0.07,0.0444,0.0077,3.9531
21:31:56,5,10,1.77,32768,0.0301,0.006,0.0059,3.9189
21:31:58,6,10,1.74,32768,0.0204,-0.0029,0.0053,3.8597
21:31:59,7,10,1.72,32768,0.0031,-0.0199,0.0045,3.7631
21:32:01,8,10,1.73,32768,0.0064,-0.017,0.0048,3.7262
21:32:03,9,10,1.71,32768,-0.0022,-0.0255,0.0041,3.6984
21:32:05,10,10,1.72,32768,0.01,-0.0136,0.0051,3.6894
